GENE_FROM	MRNA_FROM	CHROM_FROM	START_FROM	STOP_FROM	STRAND_FROM	GENE_TO	MRNA_TO	START_TO	STOP_TO	STRAND_TO	SINGLE_MATCH
GP3.063060.5	bden_t_90747	bdenJAM81_scaffold_11	188498	191479	1	BDEG_07559	BDET_07579	bden_JEL423_supercont1.13	158850	161625	-1	yes
e_gw1.4.407.1.5	bden_t_10873	bdenJAM81_scaffold_4	583934	584893	1	BDEG_02321	BDET_02327	bden_JEL423_supercont1.2	1693137	1694216	-1	yes
estExt_Genewise1.C_110070.5	bden_t_17457	bdenJAM81_scaffold_11	256774	259399	1	BDEG_07585	BDET_07605	bden_JEL423_supercont1.13	227203	229844	-1	yes
fgenesh1_pg.C_scaffold_8000067.5	bden_t_25735	bdenJAM81_scaffold_8	229756	230238	1						NO_SYNTENIC_ALIGNMENT
fgenesh1_pg.C_scaffold_4000475.5	bden_t_24236	bdenJAM81_scaffold_4	1453049	1457685	1	BDEG_01989	BDET_01993	bden_JEL423_supercont1.2	833374	845080	-1	yes
GP3.076520.5	bden_t_92093	bdenJAM81_scaffold_15	626871	628052	1	BDEG_07864	BDET_07885	bden_JEL423_supercont1.14	243341	244522	-1	yes
e_gw1.1.958.1.5	bden_t_8544	bdenJAM81_scaffold_1	3508075	3509691	-1	BDEG_01326	BDET_01330	bden_JEL423_supercont1.1	3532179	3536886	-1	yes
GP3.064680.5	bden_t_90909	bdenJAM81_scaffold_11	643051	643983	-1	BDEG_07720	BDET_07741	bden_JEL423_supercont1.13	574402	575080	-1	yes
GP3.068290.5	bden_t_91270	bdenJAM81_scaffold_12	163645	165845	1	BDEG_07272	BDET_07291	bden_JEL423_supercont1.12	295575	296482	-1	yes
GP3.032440.5	bden_t_87685	bdenJAM81_scaffold_4	992827	995198	-1	BDEG_02150	BDET_02155	bden_JEL423_supercont1.2	1282694	1284663	-1	yes
GP3.063940.5	bden_t_90835	bdenJAM81_scaffold_11	636653	637981	1	BDEG_07717	BDET_07738	bden_JEL423_supercont1.13	568004	569245	-1	yes
