GLEAN_PASA	MRNA_FROM	CHROM	START_FROM	STOP_FROM	STRAND_FROM	JGI	MRNA_TO	START_TO	STOP_TO	STRAND_TO	SINGLE_MATCH
GLEANP3_000010	GLEANP3_000010.t1	bdenJAM81_scaffold_1	28871	30602	-1	gw1.1.597.1.5	bden_t_3104	gw1.1.597.1.5	29086	30404	-1	yes
GLEANP3_000020	GLEANP3_000020.t1	bdenJAM81_scaffold_1	46951	48832	1	e_gw1.1.531.1.5	bden_t_9205	e_gw1.1.531.1.5	46951	48815	1	yes
GLEANP3_000030	GLEANP3_000030.t1	bdenJAM81_scaffold_1	49108	51068	-1	GP3.000030.5	bden_t_84444	GP3.000030.5	49108	51068	-1	yes
GLEANP3_000040	GLEANP3_000040.t1	bdenJAM81_scaffold_1	51184	52810	-1	gw1.1.725.1.5	bden_t_3639	gw1.1.725.1.5	51516	52782	-1	yes
GLEANP3_000050	GLEANP3_000050.t1	bdenJAM81_scaffold_1	60769	62983	1	gw1.1.624.1.5	bden_t_3185	gw1.1.624.1.5	61141	62783	1	yes
GLEANP3_000060	GLEANP3_000060.t1	bdenJAM81_scaffold_1	63395	64587	1	GP3.000060.5	bden_t_84447	GP3.000060.5	63395	64587	1	no
GLEANP3_000060	GLEANP3_000060.t1	bdenJAM81_scaffold_1	63395	64587	1	GP3.012160.5	bden_t_85657	GP3.012160.5	64587	66969	1	no
GLEANP3_000070	GLEANP3_000070.t1	bdenJAM81_scaffold_1	67663	71618	-1	e_gw1.1.219.1.5	bden_t_9141	e_gw1.1.219.1.5	67680	69965	-1	yes
GLEANP3_000080	GLEANP3_000080.t1	bdenJAM81_scaffold_1	77289	79847	1	estExt_fgenesh1_pg.C_10024.5	bden_t_33866	estExt_fgenesh1_pg.C_10024.5	77288	79846	1	yes
GLEANP3_000090	GLEANP3_000090.t1	bdenJAM81_scaffold_1	80323	84055	1	estExt_Genewise1Plus.C_10030.5	bden_t_18153	estExt_Genewise1Plus.C_10030.5	82549	84055	1	no
GLEANP3_000090	GLEANP3_000090.t1	bdenJAM81_scaffold_1	80323	84055	1	estExt_fgenesh1_pg.C_10025.5	bden_t_33867	estExt_fgenesh1_pg.C_10025.5	80021	82620	1	no
GLEANP3_000100	GLEANP3_000100.t1	bdenJAM81_scaffold_1	88277	91337	1	estExt_fgenesh1_pg.C_10027.5	bden_t_33868	estExt_fgenesh1_pg.C_10027.5	88277	91337	1	yes
